,Recipe Name,Prepare Time,Cook Time,Total Time,RecipeID
1791,Hot Crab Dip Recipe ,10,20,30,9383
1792,Italian Butter Recipe ,5,NULL,5,9387
1793,Boiled Custard II Recipe ,NULL,NULL,NULL,9388
1794,Russian Tea I Recipe ,NULL,NULL,NULL,9389
1795,Easy Caramel Sauce Recipe ,5,20,25,9391
1796,Caramel Corn III Recipe ,NULL,NULL,NULL,9393
1797,Kinderpunsch Recipe ,NULL,NULL,NULL,9395
1798,Pepper Jelly Recipe ,NULL,NULL,NULL,9397
1799,'My Grandma''s Mint Patties Recipe ',NULL,NULL,NULL,9398
1800,Pomegranate Jelly Recipe ,NULL,NULL,NULL,9399
1801,Potato Candy Recipe ,NULL,NULL,NULL,9400
1802,Salmon Patties I Recipe ,15,10,25,9401
1803,Old,15,150,165,9402
1804,Rice Pudding Recipe ,NULL,NULL,NULL,9403
1805,Georgia Spiced Peaches Recipe ,NULL,NULL,NULL,9404
1806,Maple Sponge Candy Recipe ,NULL,NULL,NULL,9406
1807,Quacker Jack Recipe ,NULL,NULL,NULL,9407
1808,Chocolate Cookie Mix in a Jar Recipe ,25,NULL,25,9409
1809,Chocolate Fudge Recipe ,NULL,NULL,NULL,9410
1810,Piccalilli Recipe ,NULL,NULL,NULL,9414
1811,Rum Balls I Recipe ,NULL,NULL,NULL,9415
1812,Pumpkin  Nog Recipe ,NULL,NULL,NULL,9416
1813,Cranberry Fudge Recipe ,NULL,NULL,NULL,9419
1814,Old,NULL,NULL,NULL,9420
1815,Southern Boiled Custard Recipe ,NULL,NULL,NULL,9422
1816,Hot Spiced Cider Recipe ,5,5,10,9423
1817,Walnut Poteca Recipe ,NULL,NULL,NULL,9427
1818,'Grandmother''s Boiled Raisin Cake Recipe ',NULL,NULL,NULL,9429
1819,'Jean''s Fudge Recipe ',NULL,NULL,NULL,9430
1820,Instant Russian Tea Recipe ,10,NULL,10,9431
1821,Christmas Tree Cookies Recipe ,NULL,NULL,NULL,9433
1822,Microwave Pralines Recipe ,20,13,35,9434
1823,Million Dollar Fudge Recipe ,NULL,NULL,NULL,9436
1824,Dill Dip Recipe ,NULL,NULL,NULL,9437
1825,Cream Cheese Mints Recipe ,30,NULL,150,9441
1826,'Dawn''s Candied Walnuts Recipe ',10,20,30,9443
1827,'Grandma Strait''s Fudge Recipe ',NULL,NULL,NULL,9444
1828,Festive Holiday Bark Recipe ,NULL,NULL,NULL,9445
1829,Hasty Pudding Recipe ,NULL,NULL,NULL,9447
1830,Homemade Creme Liqueur Recipe ,NULL,NULL,NULL,9448
1831,Glazed Nuts Recipe ,15,30,45,9450
1832,Fruitcake Cookies Recipe ,NULL,NULL,NULL,9451
1833,Greek Baklava Recipe ,NULL,NULL,NULL,9454
1834,Sauerkraut Salad Recipe ,NULL,NULL,NULL,9456
1835,Caramel Corn IV Recipe ,20,25,45,9457
1836,Spiced Tea Mix Recipe ,NULL,NULL,NULL,9458
1837,Banana Nut Bread III Recipe ,NULL,NULL,NULL,9460
1838,Peppermint Brittle Recipe ,5,5,70,9461
1839,Peanut Butter Marshmallow Squares Recipe ,NULL,NULL,NULL,9462
1840,'Mom''s Peanut Brittle Recipe ',NULL,NULL,NULL,9463
1841,Chocolate Chess Pie Recipe ,NULL,NULL,NULL,9464
1842,Sweet Potatoes Recipe ,NULL,NULL,NULL,9465
1843,Oklahoma Nut Candy Recipe ,NULL,NULL,NULL,9466
1844,Stained Glass Candy I Recipe ,NULL,NULL,NULL,9467
1845,Hard Rock Candy Recipe ,15,45,120,9468
1846,White Chocolate Gorp Recipe ,NULL,NULL,NULL,9470
1847,Coffee Liqueur I Recipe ,5,10,15,9472
1848,Wassail Punch I Recipe ,NULL,NULL,NULL,9473
1849,Never Fail Fruit Cake Recipe ,20,90,110,9475
1850,Vanilla and Chocolate Delight Recipe ,20,25,45,9476
1851,Swedish Nuts I Recipe ,10,40,50,9478
1852,Hot Fudge Sauce II Recipe ,NULL,NULL,NULL,9480
1853,Gingerbread Cookies Recipe ,NULL,NULL,NULL,9481
1854,Scotch Eggs Recipe ,20,25,45,9482
1855,Vegan Pumpkin Nog Recipe ,NULL,NULL,NULL,9486
1856,Pecan Pie Recipe ,10,60,70,9487
1857,Brazil Nut Fruitcake Recipe ,NULL,NULL,NULL,9490
1858,Best Ever Fudge Recipe ,NULL,NULL,NULL,9491
1859,Wine Jelly Recipe ,NULL,NULL,NULL,9492
1860,Prime Rib Roast Recipe ,15,120,255,9493
1861,Roasted Chestnuts Recipe ,NULL,NULL,NULL,9494
1862,Chestnut Souffle Recipe ,20,40,60,9495
1863,Buckeye Balls I Recipe ,NULL,NULL,NULL,9497
1864,Holly Christmas Cookies Recipe ,15,10,85,9498
1865,Delicious Whole Wheat Fruitcake Cookies Recipe ,20,15,35,9499
1866,Christmas Red and Green Salad Recipe ,30,NULL,510,9502
1867,Cream Cheese and Chopped Dried Beef Ball Recipe ,NULL,NULL,NULL,9504
1868,Creamy Guilt,NULL,NULL,NULL,9506
1869,Carrot,NULL,NULL,NULL,9507
1870,Creamy Dill Dip Recipe ,NULL,NULL,NULL,9508
1871,Taffy Apple Salad Recipe ,NULL,NULL,NULL,9510
1872,White Chocolate Party Mix Recipe ,15,10,85,9511
1873,Unbaked Fruitcake II Recipe ,NULL,NULL,NULL,9512
1874,Old,15,15,75,9513
1875,'Laura''s Chocolate Peppermint Sauce Recipe ',NULL,NULL,NULL,9514
1876,Wassail Punch II Recipe ,NULL,NULL,NULL,9515
1877,Whipped Shortbread Cookies Recipe ,15,20,35,9516
1878,Eggnog Cookies III Recipe ,20,25,45,9517
1879,Chow Mein Noodle Cookie Recipe ,NULL,NULL,NULL,9519
1880,Vegan Peanut Butter Fudge Recipe ,NULL,NULL,NULL,9523
1881,Dutch Cookies Recipe ,NULL,NULL,NULL,9524
1882,Duo,NULL,NULL,NULL,9526
1883,Sausage Cheese Balls Recipe ,NULL,NULL,NULL,9529
1884,'Irene''s Christmas Cheese Dip Recipe ',NULL,NULL,NULL,9530
1885,Easy Chocolate Mousse Recipe ,NULL,NULL,NULL,9531
1886,Marinated Mushrooms Recipe ,15,10,25,9533
1887,Tiger Butter I Recipe ,NULL,NULL,NULL,9537
1888,Tiger Butter II Recipe ,NULL,NULL,NULL,9538
1889,Pineapple Fudge Recipe ,NULL,NULL,NULL,9539
1890,Holiday Wreaths Recipe ,15,15,30,9540
1891,Artichoke Dip Recipe ,NULL,NULL,NULL,9541
1892,Apple Bavarian Torte Recipe ,30,60,90,9543
1893,Christmas Wreaths Recipe ,5,10,30,9546
1894,Fresh Carrot Souffle Recipe ,15,75,90,9548
1895,Artichoke Cheese Dip Recipe ,NULL,NULL,NULL,9549
1896,Frosted Pecan Bites Recipe ,NULL,NULL,NULL,9552
1897,Puffs Recipe ,NULL,NULL,NULL,9553
1898,White Chocolate Fudge Recipe ,15,10,85,9554
1899,Caramel Turtles® Brownies Recipe ,20,30,50,9555
1900,No Fail Fudge Recipe ,NULL,NULL,NULL,9556
1901,Potatoes and Carrots Recipe ,NULL,NULL,NULL,9559
1902,Scalloped Corn and Broccoli Recipe ,NULL,NULL,NULL,9560
1903,Christmas Snack Mix Recipe ,NULL,NULL,NULL,9562
1904,'Granny''s Shortbread Cookies Recipe ',NULL,NULL,NULL,9563
1905,Easy Coleslaw Recipe ,NULL,NULL,NULL,9565
1906,Peanut Butter Cookies I Recipe ,15,15,30,9570
1907,Granola,NULL,NULL,NULL,9572
1908,Camping Bars Recipe ,NULL,NULL,NULL,9574
1909,Chocolate Butter,NULL,NULL,NULL,9576
1910,Lace Rolls Recipe ,NULL,NULL,NULL,9578
1911,Granola,NULL,NULL,NULL,9579
1912,Granola,NULL,NULL,NULL,9580
1913,Cinnamon Cookies I Recipe ,NULL,NULL,NULL,9582
1914,Linzer Torte Cookies Recipe ,NULL,NULL,NULL,9583
1915,Spritz Recipe ,NULL,NULL,NULL,9586
1916,Applesauce Raisin Cookies I Recipe ,NULL,NULL,NULL,9587
1917,Butter Balls I Recipe ,NULL,NULL,NULL,9588
1918,Crunches Recipe ,NULL,NULL,NULL,9590
1919,Everything Cookies I Recipe ,NULL,NULL,NULL,9591
1920,Oatmeal Cinnamon Drops Recipe ,NULL,NULL,NULL,9592
1921,Old Fashioned Oatmeal Cookies Recipe ,NULL,NULL,NULL,9593
1922,One Oh One Cookies Recipe ,NULL,NULL,NULL,9594
1923,Halloween Cookies Recipe ,NULL,NULL,NULL,9595
1924,Tea Tassies Recipe ,NULL,NULL,NULL,9596
1925,Apple Pie Slices Recipe ,NULL,NULL,NULL,9598
1926,Quick and Easy Brownies Recipe ,NULL,NULL,NULL,9599
1927,Sour Cream,NULL,NULL,NULL,9600
1928,Pumpkin Bars I Recipe ,30,25,55,9601
1929,Cream Cheese Frosting I Recipe ,NULL,NULL,NULL,9602
1930,Chocolate and Almond Biscotti Recipe ,25,50,105,9603
1931,County Fair Elephant Ears Recipe ,NULL,NULL,NULL,9604
1932,Peanut Butter/Chocolate Chip Cookie Bars Recipe ,NULL,NULL,NULL,9605
1933,German Chocolate Bars Recipe ,NULL,NULL,NULL,9606
1934,Snickerdoodle Bars Recipe ,NULL,NULL,NULL,9607
1935,Cinnamon Bars Recipe ,NULL,NULL,NULL,9609
1936,'Lots o'' Cookies Recipe ',NULL,NULL,NULL,9610
1937,Nutty Chocolate Chip Cookies Recipe ,NULL,NULL,NULL,9611
1938,Oatmeal Date Cookies Recipe ,NULL,NULL,NULL,9612
1939,Snowy Pecan Cookies Recipe ,NULL,NULL,NULL,9613
1940,Candied Christmas Cookies Recipe ,NULL,NULL,NULL,9614
1941,Healthy Banana Cookies Recipe ,15,20,50,9615
1942,'Grandma M''s Raisin Cookies Recipe ',NULL,NULL,NULL,9616
1943,Amish Cookies Recipe ,10,10,60,9617
1944,Thumbprint Cookies I Recipe ,NULL,NULL,NULL,9618
1945,Peanut Butter Thumbprint Cookies I Recipe ,NULL,NULL,NULL,9619
1946,Frosted Chocolate Coconut Goodies Recipe ,NULL,NULL,NULL,9621
1947,Apple Bars Recipe ,15,40,55,9623
1948,'Aunt Hazel''s Apple Oatmeal Cookies Recipe ',NULL,NULL,NULL,9624
1949,Raisin Sour Cream Bars Recipe ,NULL,NULL,NULL,9625
1950,Pineapple Drop Cookies I Recipe ,NULL,NULL,NULL,9626
1951,Easy Oatmeal Cookies Recipe ,15,10,25,9627
1952,Ghraybeh Cookies Recipe ,NULL,NULL,NULL,9630
1953,Mexican Bride Cookies Recipe ,NULL,NULL,NULL,9631
1954,Decadent Bars Recipe ,NULL,NULL,NULL,9633
1955,Shortbread Cookies I Recipe ,NULL,NULL,NULL,9634
1956,Vanilla Wafers I Recipe ,NULL,NULL,NULL,9638
1957,Rum Raisin Cookies Recipe ,NULL,NULL,NULL,9639
1958,Fructose Sugar Cookies Recipe ,NULL,NULL,NULL,9640
1959,Fruit Cookies Recipe ,NULL,NULL,NULL,9642
1960,Pineapple Coconut Bars Recipe ,NULL,NULL,NULL,9643
1961,Pecan Bars I Recipe ,NULL,NULL,NULL,9644
1962,Baklava Recipe ,30,30,60,9645
1963,Baked Cheesecake Squares Recipe ,NULL,NULL,NULL,9646
1964,Almond Squares I Recipe ,NULL,NULL,NULL,9647
1965,Almond Cookies I Recipe ,15,8,30,9648
1966,Apricot Raisin Cookies Recipe ,NULL,NULL,NULL,9649
1967,Easy Fudge Brownies Recipe ,NULL,NULL,NULL,9650
1968,Blueberry Bars Recipe ,NULL,NULL,NULL,9651
1969,Brown Sugar Cookies I Recipe ,NULL,NULL,NULL,9653
1970,Butter Cookies I Recipe ,20,12,60,9654
1971,Butter Pecan Cookies Recipe ,NULL,NULL,NULL,9655
1972,Butterscotch Brownies I Recipe ,NULL,NULL,NULL,9656
1973,Chocolate Chip Bars Recipe ,NULL,NULL,NULL,9658
1974,Chocolate Coconut Bars Recipe ,10,30,40,9659
1975,Coconut Squares Recipe ,NULL,NULL,NULL,9660
1976,Chewy Coconut Bars Recipe ,NULL,NULL,NULL,9661
1977,Coconut Macaroons I Recipe ,NULL,NULL,NULL,9662
1978,'Jumpin'' Java Cookies Recipe ',NULL,NULL,NULL,9663
1979,Cream Cheese Brownies I Recipe ,15,40,55,9664
1980,Date Bars I Recipe ,NULL,NULL,NULL,9666
1981,Fruit Drops I Recipe ,NULL,NULL,NULL,9667
1982,Gingersnaps IV Recipe ,NULL,NULL,NULL,9669
1983,Granola Bars I Recipe ,NULL,NULL,NULL,9670
1984,Filbert Bars Recipe ,15,20,35,9671
1985,Fruit and Honey Cookies Recipe ,NULL,NULL,NULL,9672
1986,Raisin Lemon Cookies Recipe ,NULL,NULL,NULL,9673
1987,Macadamia Nut Cookies Recipe ,NULL,NULL,NULL,9674
1988,Walnut Cookies I Recipe ,NULL,NULL,NULL,9675
1989,Mint Chocolate Cookies Recipe ,NULL,NULL,NULL,9677
1990,Raisin Peanut Butter Bran Cookies Recipe ,NULL,NULL,NULL,9678
1991,Classic Chocolate Cookies Recipe ,NULL,NULL,NULL,9679
1992,Jumbo Raisin Spice Cookies Recipe ,NULL,NULL,NULL,9681
1993,Peanut Butter Chocolate Sandwich Cookies Recipe ,NULL,NULL,NULL,9682
1994,Chocolate Almond Freezer Cookies Recipe ,NULL,NULL,NULL,9683
1995,Fortune Cookies I Recipe ,NULL,NULL,NULL,9684
1996,Mincemeat Cookies I Recipe ,NULL,NULL,NULL,9686
1997,Orange Biscotti Recipe ,NULL,NULL,NULL,9687
1998,Norwegian Butter Cookies Recipe ,NULL,NULL,NULL,9688
1999,Date Filled Cookies Recipe ,NULL,NULL,NULL,9690
2000,Sour Cream Cookies I Recipe ,NULL,NULL,NULL,9691
2001,Coconut Chocolate Cookies Recipe ,15,15,30,9692
2002,Macaroons I Recipe ,NULL,NULL,NULL,9693
2003,Almond Macaroons I Recipe ,NULL,NULL,NULL,9695
2004,Peanut Butter Brownies I Recipe ,NULL,NULL,NULL,9697
2005,Walnut Brownies Recipe ,NULL,NULL,NULL,9698
2006,Honey Nut Bars Recipe ,NULL,NULL,NULL,9699
2007,Scottish Shortbread I Recipe ,NULL,NULL,NULL,9700
2008,'Better than Grandma''s Brownies Recipe ',NULL,NULL,NULL,9701
2009,Orange Marmalade Bars Recipe ,NULL,NULL,NULL,9702
2010,Crispy Gingersnaps Recipe ,10,12,22,9703
2011,Noel Bars Recipe ,NULL,NULL,NULL,9704
2012,Sesame Wafers Recipe ,NULL,NULL,NULL,9705
2013,Carrot,15,35,50,9706
2014,Pistachio Thins Recipe ,NULL,NULL,NULL,9710
2015,Fudge Chunk Brownies Recipe ,NULL,NULL,NULL,9713
2016,Turtles® Brownies Recipe ,NULL,NULL,NULL,9714
2017,White Chocolate,NULL,NULL,NULL,9715
2018,Almond Thins Recipe ,15,17,32,9716
2019,Hazelnut and Almond Cookies Recipe ,NULL,NULL,NULL,9717
2020,Pine Nut Macaroons Recipe ,NULL,NULL,NULL,9718
2021,Toasted Sesame Thins Recipe ,NULL,NULL,NULL,9719
2022,Greek Egg Biscuits Recipe ,NULL,NULL,NULL,9720
2023,Sicilian Fig Cookies Recipe ,NULL,NULL,NULL,9721
2024,Pecan Lace Cookies I Recipe ,NULL,NULL,NULL,9722
2025,Chocolate Oatmeal Bars Recipe ,NULL,NULL,NULL,9723
2026,Candy Bar Bars Recipe ,NULL,NULL,NULL,9724
2027,Chocolate Peanut Butter Date Bars Recipe ,NULL,NULL,NULL,9725
2028,Apricot Amaretto Chews Recipe ,NULL,NULL,NULL,9727
2029,Pistachio Wreaths Recipe ,NULL,NULL,NULL,9729
2030,Fudgies I Recipe ,NULL,NULL,NULL,9731
2031,Lemon Squares I Recipe ,NULL,NULL,NULL,9735
2032,Currant Raisin Cookies Recipe ,NULL,NULL,NULL,9736
2033,Vanilla Crescent Cookies Recipe ,NULL,NULL,NULL,9737
2034,Ginger and Spice Cookies Recipe ,30,15,45,9738
2035,Icebox Cookies I Recipe ,NULL,NULL,NULL,9739
2036,Almond Rolls Recipe ,NULL,NULL,NULL,9740
2037,Nougat Cookies Recipe ,NULL,NULL,NULL,9741
2038,Old Fashioned Wreaths Recipe ,NULL,NULL,NULL,9742
2039,Dark Dreams Recipe ,10,30,40,9743
2040,Light Dreams Recipe ,NULL,NULL,NULL,9744
2041,Rosenmunnar Recipe ,40,15,55,9745
2042,Cinnamon Cocoa Drops Recipe ,NULL,NULL,NULL,9746
2043,Almond Kisses Recipe ,NULL,NULL,NULL,9747
2044,Fork Cookies Recipe ,NULL,NULL,NULL,9748
2045,Spritsar Recipe ,NULL,NULL,NULL,9749
2046,Coconut Fingers Recipe ,NULL,NULL,NULL,9750
2047,Swedish Wafers Recipe ,NULL,NULL,NULL,9751
2048,Apricot Squares Recipe ,30,45,75,9752
2049,Cashew Caramel Bars Recipe ,NULL,NULL,NULL,9753
2050,Almond,20,45,65,9754
2051,Coconut Cake Bars Recipe ,NULL,NULL,NULL,9755
2052,Chocolate Peanut Butter Bars I Recipe ,NULL,NULL,NULL,9756
2053,Hermits I Recipe ,NULL,NULL,NULL,9757
2054,Zucchini Nut Bars Recipe ,NULL,NULL,NULL,9758
2055,Cream Cheese Brownies II Recipe ,NULL,NULL,NULL,9759
2056,Mocha Java Bars Recipe ,NULL,NULL,NULL,9760
2057,Easy Carrot Cake Bars Recipe ,NULL,NULL,NULL,9761
2058,Oatmeal Cookie Bars Recipe ,NULL,NULL,NULL,9762
2059,Chocolate Chip Cookie Bars Recipe ,NULL,NULL,NULL,9763
2060,Cheesecake Bars Recipe ,20,40,60,9764
2061,Macadamia Nut Lemon Drops Recipe ,NULL,NULL,NULL,9765
2062,Chunks Recipe ,15,12,27,9766
2063,Pistachio Crisps Recipe ,NULL,NULL,NULL,9767
2064,Glazed Apple Cookies Recipe ,NULL,NULL,NULL,9768
2065,'Zaz''s Oatmeal Shortbread Recipe ',NULL,NULL,NULL,9770
2066,Coffee Cookies Recipe ,10,12,22,9771
2067,Chocolate Macaroons I Recipe ,NULL,NULL,NULL,9772
2068,Maple Cookies Recipe ,NULL,NULL,NULL,9773
2069,Mint Cookie Cookies Recipe ,NULL,NULL,NULL,9774
2070,Cinnamon Raisin Crescents Recipe ,NULL,NULL,NULL,9775
2071,Easy Butter Cookies I Recipe ,NULL,NULL,NULL,9776
2072,No Bake Rum Balls Recipe ,NULL,NULL,NULL,9777
2073,Date Balls Recipe ,NULL,NULL,NULL,9778
2074,Chocolate,NULL,NULL,NULL,9779
2075,Marbled Tarts Recipe ,NULL,NULL,NULL,9780
2076,Pecan and Sour Cream Sandies Recipe ,NULL,NULL,NULL,9781
2077,Chocolate Dipped Mocha Rounds Recipe ,NULL,NULL,NULL,9782
2078,Coconut Rolled Sugar Cookies Recipe ,NULL,NULL,NULL,9783
2079,Orange Sugar Bells Recipe ,NULL,NULL,NULL,9784
2080,Apricot Twists Recipe ,NULL,NULL,NULL,9785
2081,Sour Cream Figure,NULL,NULL,NULL,9786
2082,Pastel Wafers Recipe ,NULL,NULL,NULL,9787
2083,Chocolate,NULL,NULL,NULL,9788
2084,Anginetti Recipe ,NULL,NULL,NULL,9789
2085,Orange,NULL,NULL,NULL,9790
2086,Chocolate,NULL,NULL,NULL,9791
2087,Lemon,NULL,NULL,NULL,9792
2088,Anise Biscotti Recipe ,20,60,100,9793
2089,Sesame,NULL,NULL,NULL,9794
2090,Digestive Biscuits Recipe ,15,15,30,9795
2091,Madeira Fingers Recipe ,NULL,NULL,NULL,9797
2092,Cinnamon Biscuits Recipe ,20,15,65,9798
2093,Fruit Preserve Sandwich Cookies Recipe ,NULL,NULL,NULL,9799
2094,Dutch Cinnamon Biscuits Recipe ,NULL,NULL,NULL,9800
2095,Cardamom Granola Bars Recipe ,NULL,NULL,NULL,9801
2096,Monster Cookies I Recipe ,NULL,NULL,NULL,9802
2097,Urban Legend Chocolate Chip Cookies Recipe ,15,8,23,9804
2098,Nice Spice Cookies Recipe ,NULL,NULL,NULL,9805
2099,Peanut Butter Kiss Cookies Recipe ,NULL,NULL,NULL,9806
2100,Raspberry Chocolate Supremes Recipe ,NULL,NULL,NULL,9807
2101,Monster Cookies II Recipe ,20,15,105,9810
2102,Potato Chip Cookies I Recipe ,NULL,NULL,NULL,9811
2103,Monster Cookies III Recipe ,NULL,NULL,NULL,9812
2104,Potato Chip Cookies II Recipe ,20,14,48,9813
2105,Sugar Free Rugelach Recipe ,NULL,NULL,NULL,9814
2106,Cake Mix Cookies I Recipe ,NULL,NULL,NULL,9815
2107,Anzac Biscuits I Recipe ,NULL,NULL,NULL,9816
2108,Arny Cookies Recipe ,NULL,NULL,NULL,9818
2109,Easy Chocolate Butterscotch Cookies Recipe ,NULL,NULL,NULL,9819
2110,Double Nut Chocolate Chip Cookies Recipe ,NULL,NULL,NULL,9820
2111,Pfeffernusse Recipe ,NULL,NULL,NULL,9822
2112,One and a Half Minute Cookies Recipe ,NULL,NULL,NULL,9824
2113,Peanut Butter Shortbread Cookies Recipe ,NULL,NULL,NULL,9825
2114,Sugarless Cookies II Recipe ,NULL,NULL,NULL,9828
2115,No Bake Peanut Butter Cookies I Recipe ,NULL,NULL,NULL,9829
2116,Peanut Butter Chocolate Chip Cookies from Heaven Recipe ,NULL,NULL,NULL,9830
2117,'Linda''s Awesome Brownies Recipe ',NULL,NULL,NULL,9831
2118,No Bake Cookies I Recipe ,10,NULL,45,9832
2119,Light and Chewy Cake Cookies Recipe ,NULL,NULL,NULL,9834
2120,White Chocolate Macadamia Nut Cookies I Recipe ,15,17,32,9835
2121,Speculaas Recipe ,NULL,NULL,NULL,9836
2122,Apple Cookies Recipe ,NULL,NULL,NULL,9837
2123,Vanilla Glaze Recipe ,10,NULL,10,9838
2124,Soft Sugar Cookies I Recipe ,NULL,NULL,NULL,9839
2125,Sugar Cookie Frosting Recipe ,15,NULL,15,9840
2126,Applesauce Cocoa Cookies Recipe ,NULL,NULL,NULL,9841
2127,Old Fashion Oatmeal Cookies II Recipe ,NULL,NULL,NULL,9844
2128,No Bake Choco,NULL,NULL,NULL,9846
2129,Meringue Cookies Recipe ,NULL,NULL,NULL,9847
2130,Chocolate Toffee Cookies I Recipe ,NULL,NULL,NULL,9848
2131,Forgotten Cookies I Recipe ,NULL,NULL,NULL,9849
2132,No Bake Cereal Cookies Recipe ,10,5,30,9852
2133,Chocolate Crinkles I Recipe ,NULL,NULL,NULL,9853
2134,Special K Cookies Recipe ,NULL,NULL,NULL,9855
2135,Peanut Butter Crispies I Recipe ,NULL,NULL,NULL,9856
2136,Peppermint Meringues Recipe ,20,90,300,9857
2137,Forgotten Party Cookies Recipe ,NULL,NULL,NULL,9858
2138,Unbaked Chocolate Oatmeal Cookies Recipe ,NULL,NULL,NULL,9859
2139,Chocolate Scotcheroo Bars Recipe ,20,5,45,9860
2140,Mrs. Fields Cookie Recipe I Recipe ,NULL,NULL,NULL,9863
2141,Cracked Sugar Cookies I Recipe ,NULL,NULL,NULL,9864
2142,Carrot Cookies I Recipe ,NULL,NULL,NULL,9866
2143,Wine Drop Cookies Recipe ,NULL,NULL,NULL,9868
2144,Easy Sugar Cookies Recipe ,15,10,25,9870
2145,Trillionaire Cookies Recipe ,NULL,NULL,NULL,9871
2146,'Evelyn''s Rolled Sugar Cookies Recipe ',NULL,NULL,NULL,9872
2147,'Annemarie''s Lemon Bars Recipe ',15,40,55,9873
2148,Soft Whole Wheat Sugar Cookies Recipe ,NULL,NULL,NULL,9875
2149,Chocolate Filled Bon,NULL,NULL,NULL,9876
2150,Gourmet Shells Recipe ,NULL,NULL,NULL,9877
2151,Margarita Balls I Recipe ,30,NULL,30,9878
2152,Mexican Coffee Balls Recipe ,30,NULL,30,9879
2153,Chinese Chews I Recipe ,NULL,NULL,NULL,9880
2154,Chocolate Covered Cherry Cookies I Recipe ,NULL,NULL,NULL,9881
2155,Cappuccino Brownies Recipe ,30,35,545,9884
2156,Chocolate Wafers Recipe ,NULL,NULL,NULL,9885
2157,No Bake Chocolate Cookies I Recipe ,NULL,NULL,NULL,9886
2158,Sweet Marie Bars Recipe ,NULL,NULL,NULL,9888
2159,Seven Layer Bars Recipe ,15,25,60,9889
2160,Haystacks I Recipe ,NULL,NULL,NULL,9891
2161,Food for the Gods Recipe ,NULL,NULL,NULL,9892
2162,Oatmeal Crispies I Recipe ,NULL,NULL,NULL,9894
2163,Prize,NULL,NULL,NULL,9895
2164,Gumdrop Tasty Chewies Recipe ,NULL,NULL,NULL,9897
2165,Sugar,NULL,NULL,NULL,9898
2166,Tea Cakes I Recipe ,NULL,NULL,NULL,9899
2167,Chocolate Brittle Surprise Recipe ,NULL,NULL,NULL,9901
2168,Macaroon Cookie Bars Recipe ,15,35,50,9902
2169,Oatmeal Chocolate Chip Cookies I Recipe ,NULL,NULL,NULL,9907
2170,Waffle Iron Chocolate Cookies Recipe ,NULL,NULL,NULL,9908
2171,Buckeyes I Recipe ,15,5,50,9909
2172,One Bowl Brownies Recipe ,NULL,NULL,NULL,9910
2173,Party Cookies Recipe ,NULL,NULL,NULL,9911
2174,'Granny''s Brownies Recipe ',15,60,80,9912
2175,Shortbread Supreme Recipe ,25,12,37,9913
2176,Yum Yums Recipe ,NULL,NULL,NULL,9914
2177,'Busia''s Cutout Cookies Recipe ',NULL,NULL,NULL,9915
2178,Chow Clusters Recipe ,NULL,NULL,NULL,9916
2179,Almond Crescents I Recipe ,NULL,NULL,NULL,9917
2180,Gumdrop Bars Recipe ,NULL,NULL,NULL,9918
2181,Toasty Macaroons Recipe ,NULL,NULL,NULL,9921
2182,Springerle I Recipe ,NULL,NULL,NULL,9922
2183,Forgotten Kisses Recipe ,NULL,NULL,NULL,9923
2184,Springerle II Recipe ,NULL,NULL,NULL,9924
2185,Soft Chocolate Chip Cookies I Recipe ,NULL,NULL,NULL,9925
2186,Cream Cheese Frosting II Recipe ,10,NULL,10,9926
2187,Graham Crisps Recipe ,NULL,NULL,NULL,9927
2188,'Hillary Clinton''s Chocolate Chip Cookies Recipe ',NULL,NULL,NULL,9928
2189,Fresh Fig Cookies Recipe ,NULL,NULL,NULL,9929
2190,Lemon Crisps Recipe ,NULL,NULL,NULL,9930
2191,Raspberry Squares II Recipe ,25,45,70,9931
2192,Easy Tootsie Rolls Recipe ,NULL,NULL,NULL,9932
2193,Pinwheel Cookies I Recipe ,NULL,NULL,NULL,9933
2194,Butterscotch Oatmeal Cookies I Recipe ,15,10,40,9935
2195,Springerle III Recipe ,NULL,NULL,NULL,9936
2196,'Granny''s Filled Cookies Recipe ',NULL,NULL,NULL,9938
2197,Lebkuchen I Recipe ,NULL,NULL,NULL,9940
2198,Congo Bars I Recipe ,NULL,NULL,NULL,9941
2199,Frying Pan Cookies Recipe ,NULL,NULL,NULL,9942
2200,Coconut,NULL,NULL,NULL,9943
2201,Beacon Hill Cookies Recipe ,NULL,NULL,NULL,9944
2202,Scottish Shortbread II Recipe ,NULL,NULL,NULL,9945
2203,Pizzelles I Recipe ,NULL,NULL,NULL,9946
2204,My Favorite Chocolate Chip Cookie Recipe ,NULL,NULL,NULL,9949
2205,One of Everything Recipe ,NULL,NULL,NULL,9950
2206,'Pope''s Valentine Cookies Recipe ',NULL,NULL,NULL,9951
2207,Haystacks II Recipe ,NULL,NULL,NULL,9957
2208,'World''s Best Cookie Recipe ',NULL,NULL,NULL,9958
2209,Marshmallow Treats Recipe ,NULL,NULL,NULL,9959
2210,German Spice Cookies Recipe ,NULL,NULL,NULL,9961
2211,Chocolate Chip Crispies Recipe ,20,NULL,40,9962
2212,Mexican Wedding Cakes I Recipe ,NULL,NULL,NULL,9963
2213,Mexican Wedding Cakes II Recipe ,NULL,NULL,NULL,9965
2214,'Jesse''s Toffee Bars Recipe ',NULL,NULL,NULL,9966
