ingredient_id,pubchem_id
27,6322
27,6736
27,31252
27,7909
27,7284
27,7501
27,9609
27,12180
27,18827
27,18635
27,612
27,19602
27,11509
27,6202
27,454
27,957
27,12266
27,18554
27,798
27,342
27,12748
27,8184
27,3776
27,31289
27,5311110
27,8094
27,9261
27,994
27,12232
27,998
27,8027
27,6140
27,11747
27,5321950
27,996
27,878
27,6274
27,8093
27,1049
27,379
27,402
27,27457
27,1068
27,12097
27,1130
27,7976
27,247
27,16666
27,644104
27,12020
27,527
27,2879
27,7895
27,6561
27,11552
4,6322
4,6736
4,31252
4,7909
4,7284
4,7501
4,9609
4,12180
4,18827
4,18635
4,612
4,19602
4,11509
4,6202
4,454
4,957
4,12266
4,18554
4,798
4,342
4,12748
4,8184
4,3776
4,31289
4,5311110
4,8094
4,9261
4,994
4,12232
4,998
4,8027
4,6140
4,11747
4,5321950
4,996
4,878
4,6274
4,8093
4,1049
4,379
4,402
4,27457
4,1068
4,12097
4,1130
4,7976
4,247
4,16666
4,644104
4,12020
4,527
4,2879
4,7895
4,6561
4,11552
50,323
50,7150
50,11509
50,637566
50,439341
50,33931
50,9261
50,6072
50,12587
50,878
50,5281708
50,240
50,244
50,441484
50,1889
50,4788
50,6184
50,11128
50,8723
50,12756
50,8094
50,338
50,11005
50,1183
50,12232
50,5280511
50,5315892
50,15394
50,784
50,14286
50,8892
50,853433
50,247
50,7654
50,702
50,999
50,643941
50,637511
50,8063
50,637775
50,8452
50,6986
50,6054
50,439263
50,7937
50,1110
50,5284639
50,31289
50,5280443
50,998
50,5318042
50,3893
50,379
50,12097
50,1130
50,31260
50,107
50,527
50,10393
50,7847
50,441005
50,798
50,6050
50,10797
50,13144
50,650
50,638278
50,444539
50,5280598
50,8768
50,1032
50,11552
50,445070
50,107971
50,7284
50,10448
50,638011
50,6560
50,284
50,985
50,6590
50,6584
50,5367719
50,72
50,89594
50,5280863
50,8103
50,402
50,10430
50,644104
50,439533
50,6251
50,7895
50,802
50,49
50,79803
50,8868
50,26447
50,1549026
50,5363388
50,30914
50,7858
50,31268
50,439246
50,6561
50,9862
50,18635
50,454
50,6202
50,768
50,2345
50,5284503
50,8857
50,5365811
50,643779
50,2969
50,7362
50,61020
50,7288
50,85730
50,1031
50,19602
50,8130
50,180
50,6569
50,61503
50,126
50,5280445
50,637542
2885,12209
2885,10448
2885,5372954
2885,8468
2885,643731
2885,7344
2885,18635
2885,5366074
2885,25915
2885,6202
2885,8094
2885,460
2885,7824
2885,1183
2885,31276
2885,72
2885,332
2885,7997
2885,1049
2885,8369
2885,32065
2885,1130
2885,644104
2885,12020
2885,12366
2885,999
2885,6561
2885,8158
2885,8908
2885,19309
855,7362
855,11173
855,10883
855,61020
855,11559
855,7361
855,12170
855,7359
855,994
855,5960
855,880
855,5365891
855,6140
94,5367531
94,7795
94,20083
94,10558
94,16617
94,12209
94,222656
94,7284
94,5283349
94,10448
94,7799
94,6560
94,61030
94,643731
94,8468
94,11509
94,12613
94,7193
94,985
94,8025
94,25915
94,6590
94,17525
94,6584
94,13187
94,9261
94,16821
94,8052
94,72
94,264
94,753
94,8027
94,5362583
94,639665
94,72277
94,5280863
94,5321950
94,878
94,7997
94,8093
94,5281708
94,3314
94,8129
94,1049
94,8369
94,402
94,10430
94,7976
94,14079
94,7945
94,637775
94,8914
94,644104
94,10976
94,10957
94,643139
94,17100
94,7895
94,7655
94,7707
94,1146
94,8842
94,75515
94,49
94,18698
94,61592
94,61386
94,12813
94,1491
94,7742
94,7762
94,445154
94,7915
94,7848
94,8792
94,24115
94,1549026
94,5366074
94,957
94,12756
94,14296
94,8094
94,338
94,460
94,7361
94,11005
94,1183
94,7151
94,12232
94,7460
94,529496
94,5282708
94,19707
94,5362622
94,8159
94,11747
94,26808
94,996
94,8432
94,8169
94,15037
94,62484
94,1001
94,9064
94,5284507
94,73750
94,636687
94,8186
94,26331
94,14286
94,8892
94,31268
94,32065
94,27457
94,10886
94,1068
94,7797
94,8038
94,853433
94,8655
94,8175
94,7654
94,6998
94,16255
94,26334
94,999
94,6561
94,7894
94,61384
94,7800
94,8007
94,62465
94,439246
94,643941
94,72276
94,7658
94,31283
94,5281168
94,22386
94,8193
94,8063
94,5352905
94,5281
94,7775
94,7909
94,679
94,8180
94,9862
94,21057
94,9609
94,62453
94,31291
94,229888
94,146586
94,8051
94,65064
94,88290
94,107905
94,5280343
94,18827
94,18635
94,6054
94,16872
94,7937
94,7772
94,454
94,22201
94,6202
94,9017
94,31289
94,342
94,520108
94,19310
94,61171
94,85519
94,5463238
94,5280443
94,998
94,58
94,5318042
94,8174
94,9256
94,12367
94,3893
94,964
94,135
94,379
94,1549018
94,12097
94,1060
94,1130
94,61712
94,107
94,10925
94,445639
94,11173
94,7342
94,527
94,31251
94,569214
94,8908
94,19309
94,519786
94,7222
94,2969
94,65084
94,513197
94,14505
94,8163
94,7302
94,12170
94,1031
94,7646
94,10393
94,7344
94,612
94,5054
94,9589
94,798
94,7824
94,31253
94,880
94,8918
94,31276
94,650
94,61048
94,61209
94,61664
94,8194
94,332
94,14514
94,31225
94,61743
94,5282726
94,5283335
94,7144
94,7749
94,126
94,15406
94,444539
94,5280445
94,31245
94,240925
94,5319754
94,31242
94,7710
94,8314
94,6086514
94,638122
94,442428
94,12020
94,10823
