flavor_id, flavor_name
505,sweet-like
506,terpentine
507,ethyl benzoate
508,pear skin
509,slightly fruity
510,arrack
511,cyclamen
512,molasses
513,toffee
514,rose acetate
515,tuberose
516,coumarinic
517,old wood
518,leathery
519,violet-leaf
520,matches
521,broom
522,heather
523,genet
524,cedarleaf
525,thuja
526,cadaverous
527,fir
528,parsley
529,hummus
530,pine needle
531,taco
532,pork
533,lamb
534,butyric
535,greasy
536,bouillon
537,turnup
538,rosy
539,straw
540,filbert
541,myrcene
542,gooseberry
543,dried raspberry
544,cassie
545,absolute
546,opoponax
547,cuminseed
548,terpineol
549,linalool
550,delicate
551,sandalwood
552,lovage
553,melon rind
554,cucumber skin
555,valerian
556,clary
557,pleasant
558,soft
559,tangy
560,cardboard
561,aromatic
562,tomato leaf
563,cantaloupe
564,honeydew
565,mousy
566,ambergris
567,outdoor
