amount,unit,recipe_id,ingredient_id
2,NULL,7038,4
1.5,teaspoons,7038,12
3.25,cups,7038,34
2,tablespoons,7038,2
2,tablespoons,7038,79
1.5,teaspoons,7038,3
2,teaspoons,7038,80
0.5,cup,7038,81
2,cups,7040,6
1,tablespoon,7040,7
1,teaspoon,7040,3
1,tablespoon,7040,2
0.333333333,cup,7040,28
1,cup,7040,11
0.75,cup,7043,11
2,NULL,7043,4
3,tablespoons,7043,37
3,cups,7043,34
0.25,cup,7043,2
1.5,teaspoons,7043,3
1.5,teaspoons,7043,0
1,package,7046,0
1,cup,7046,69
3,cups,7046,34
1,teaspoon,7046,3
0.5,cup,7046,56
1,tablespoon,7046,10
1.333333333,cups,7046,40
0.25,cup,7046,68
4,NULL,7048,4
1.5,cups,7048,2
2,teaspoons,7048,12
1,cup,7048,10
1.5,teaspoons,7048,18
0.75,teaspoon,7048,21
1,can,7048,73
2,cups,7048,82
3,cups,7048,6
1,teaspoon,7048,3
1.5,teaspoons,7048,19
1.5,teaspoons,7048,7
1,package,7049,83
0.25,cup,7049,2
1,NULL,7049,27
1.75,cups,7049,6
1.5,cups,7049,2
1,teaspoon,7049,19
1,teaspoon,7049,18
0.5,teaspoon,7049,3
0.25,teaspoon,7049,21
1,cup,7049,84
0.5,cup,7049,5
1,NULL,7049,27
0.333333333,cup,7049,40
2,cups,7050,29
1,cup,7050,5
2,teaspoons,7050,3
1,cup,7050,2
2,packages,7050,0
0.5,cup,7050,1
8.5,cups,7050,6
1,tablespoon,7050,63
0.5,cup,7050,85
0.5,cup,7050,86
1,cup,7050,87
1,NULL,7050,88
1.333333333,cups,7051,40
1.5,tablespoons,7051,79
1,tablespoon,7051,56
1,tablespoon,7051,68
3,tablespoons,7051,37
1,teaspoon,7051,2
1,teaspoon,7051,3
0.5,cup,7051,57
2,cups,7051,35
1,cup,7051,34
2.75,teaspoons,7051,0
1.25,cups,7052,40
3,cups,7052,34
2,tablespoons,7052,68
1.5,tablespoons,7052,79
1.5,teaspoons,7052,3
0.5,cup,7052,69
2,tablespoons,7052,37
1,tablespoon,7052,0
3.5,cups,7053,6
2,cups,7053,89
0.666666667,cup,7053,2
1,can,7053,84
1,cup,7053,10
0.666666667,cup,7053,90
2,teaspoons,7053,19
1,teaspoon,7053,3
1,teaspoon,7053,21
1.5,teaspoons,7053,18
0.666666667,cup,7053,91
1,cup,7053,25
1,can,7054,92
2.75,cups,7054,93
0.333333333,cup,7054,2
1,can or bottle,7054,94
0.875,cup,7055,40
0.75,teaspoon,7055,74
1.5,cups,7055,34
0.5,cup,7055,57
0.25,cup,7055,95
1,tablespoon,7055,37
1.5,tablespoons,7055,2
1,teaspoon,7055,3
1,teaspoon,7055,76
1,teaspoon,7055,96
2,tablespoons,7055,53
1,teaspoon,7055,0
0.875,cup,7056,94
1,teaspoon,7056,97
0.25,teaspoon,7056,98
0.25,teaspoon,7056,99
1,tablespoon,7056,100
2.25,cups,7056,34
0.125,teaspoon,7056,101
1,tablespoon,7056,96
1,teaspoon,7056,102
0.25,teaspoon,7056,45
0.5,teaspoon,7056,3
2,teaspoons,7056,0
1.125,cups,7058,40
3,cups,7058,35
1.5,teaspoons,7058,3
0.333333333,cup,7058,68
1,tablespoon,7058,79
1.5,tablespoons,7058,28
1.5,teaspoons,7058,0
2.5,teaspoons,7059,0
1,cup,7059,57
2.25,cups,7059,34
0.5,cup,7059,42
1.5,tablespoons,7059,2
1.5,tablespoons,7059,103
1.5,teaspoons,7059,3
1,cup,7059,40
2,cups,7059,104
3,tablespoons,7059,10
1,NULL,7060,27
0.25,cup,7060,105
1,tablespoon,7060,106
0.25,cup,7060,107
0.25,cup,7060,108
3,tablespoons,7060,109
0.25,teaspoon,7060,18
1,pinch,7060,21
0.5,teaspoon,7060,110
0.25,teaspoon,7060,3
1,NULL,7064,111
1,cup,7064,10
1,cup,7064,2
4,NULL,7064,4
2,teaspoons,7064,12
2,teaspoons,7064,19
1,teaspoon,7064,7
1,package,7064,112
2,cups,7064,6
2,teaspoons,7064,18
1,cup,7064,66
1,cup,7064,113
1,cup,7064,17
1,tablespoon,7065,0
2,tablespoons,7065,2
1,teaspoon,7065,3
3.5,cups,7065,6
1,cup,7065,11
1,tablespoon,7065,114
0.25,cup,7065,40
0.25,cup,7065,37
0.5,cup,7065,115
1,clove,7065,116
0.5,teaspoon,7065,3
1,tablespoon,7065,117
2,tablespoons,7065,37
2.25,cups,7066,118
1,cup,7066,119
2.5,teaspoons,7066,120
1,teaspoon,7066,121
3,tablespoons,7066,122
1.5,teaspoons,7066,3
1,tablespoon,7066,123
0.5,cup,7066,79
2.25,teaspoons,7066,0
3,NULL,7066,4
1,teaspoon,7066,74
3,tablespoons,7066,124
0.5,cup,7066,1
2,cups,7067,6
0.75,cup,7067,2
0.25,cup,7067,8
2,teaspoons,7067,7
1,teaspoon,7067,19
0.5,teaspoon,7067,3
2,NULL,7067,4
1,cup,7067,125
0.25,cup,7067,10
1,tablespoon,7067,126
0.333333333,cup,7067,127
3,tablespoons,7067,2
0.333333333,cup,7068,11
0.25,cup,7068,10
0.666666667,cup,7068,128
1,NULL,7068,27
1.75,cups,7068,6
0.25,cup,7068,2
2,tablespoons,7068,8
1,tablespoon,7068,129
0.25,teaspoon,7068,31
2.5,teaspoons,7068,7
0.5,teaspoon,7068,19
0.5,teaspoon,7068,3
0.5,NULL,7068,15
2.5,teaspoons,7068,127
1,cup,7069,28
2,cups,7069,2
6,NULL,7069,130
4,NULL,7069,4
2.25,cups,7069,6
1,teaspoon,7069,3
2,teaspoons,7069,19
2,teaspoons,7069,18
1,teaspoon,7069,65
1,teaspoon,7069,131
1,cup,7069,25
1,tablespoon,7070,0
1,teaspoon,7070,68
5,cups,7070,1
3,cups,7070,132
0.25,teaspoon,7070,19
2,cups,7071,6
1,cup,7071,133
1,cup,7071,1
1,teaspoon,7071,0
1,tablespoon,7071,16
0.5,teaspoon,7071,3
1.5,teaspoons,7071,2
1,tablespoon,7071,100
1,cup,7072,1
1.5,tablespoons,7072,134
2,teaspoons,7072,0
0.5,cup,7072,17
3,cups,7072,34
1,teaspoon,7072,3
1,teaspoon,7072,18
1,tablespoon,7074,0
1.25,cups,7074,55
2,NULL,7074,4
0.333333333,cup,7074,5
4,cups,7074,35
0.5,teaspoon,7074,3
0.5,teaspoon,7074,21
0.5,cup,7074,135
3,ounces,7074,136
0.333333333,cup,7074,68
1,cup,7074,6
0.5,cup,7074,28
1,NULL,7074,27
2,tablespoons,7074,11
0.75,cup,7075,1
1,cup,7075,137
1.5,teaspoons,7075,3
2.666666667,cups,7075,34
1.5,teaspoons,7075,0
1,cup,7076,1
3,tablespoons,7076,138
2,tablespoons,7076,10
2,tablespoons,7076,2
1.5,teaspoons,7076,139
1.5,teaspoons,7076,140
1.5,teaspoons,7076,141
1.5,teaspoons,7076,142
1.5,teaspoons,7076,143
1.5,tablespoons,7076,144
3,cups,7076,34
2.25,teaspoons,7076,0
1,cup,7077,40
1,NULL,7077,27
2,tablespoons,7077,79
2,tablespoons,7077,68
2,tablespoons,7077,37
1.5,teaspoons,7077,3
1,cup,7077,34
2,cups,7077,6
1,teaspoon,7077,18
1,teaspoon,7077,21
1,teaspoon,7077,145
0.5,teaspoon,7077,146
0.5,teaspoon,7077,147
0.5,teaspoon,7077,63
1.25,teaspoons,7077,0
0.5,cup,7077,17
0.5,cup,7077,136
1,cup,7078,40
1,extra large,7078,27
2,tablespoons,7078,79
1,tablespoon,7078,2
2,tablespoons,7078,10
1.5,teaspoons,7078,3
1,cup,7078,34
2,cups,7078,6
1.25,teaspoons,7078,0
1,cup,7079,11
1,NULL,7079,27
2,tablespoons,7079,37
0.333333333,cup,7079,2
0.75,teaspoon,7079,3
3,cups,7079,34
2.5,teaspoons,7079,0
0.875,cup,7080,1
0.75,teaspoon,7080,3
2,tablespoons,7080,100
2.5,cups,7080,6
2,teaspoons,7080,2
2,teaspoons,7080,0
1.25,cups,7081,148
0.5,cup,7081,149
1,teaspoon,7081,3
3,cups,7081,34
1,tablespoon,7081,10
1,tablespoon,7081,141
2,teaspoons,7081,0
0.666666667,cup,7081,150
1.5,cups,7083,1
2,tablespoons,7083,37
2,tablespoons,7083,2
1,teaspoon,7083,3
4.25,cups,7083,34
2,tablespoons,7083,79
3,teaspoons,7083,76
2,teaspoons,7083,0
0.666666667,cup,7083,17
1.125,cups,7084,1
1,teaspoon,7084,151
1,cup,7084,35
1,cup,7084,152
1,cup,7084,153
2,tablespoons,7084,154
1,tablespoon,7084,0
1.5,cups,7085,137
0.333333333,cup,7085,1
1.5,tablespoons,7085,37
1.5,tablespoons,7085,2
0.75,teaspoon,7085,3
0.75,cup,7085,35
3,cups,7085,6
1.5,teaspoons,7085,0
2,cups,7086,6
1,teaspoon,7086,155
0.5,teaspoon,7086,19
1,pinch,7086,3
0.25,cup,7086,37
0.125,cup,7086,2
0.5,cup,7086,11
2,tablespoons,7086,11
2.5,cups,7087,93
3,tablespoons,7087,2
1,can or bottle,7087,156
1,pound,7088,157
2,packages,7089,158
0.25,cup,7089,37
1,tablespoon,7089,139
0.25,NULL,7089,159
2,tablespoons,7089,160
0.666666667,cup,7090,1
0.75,cup,7090,64
2,tablespoons,7090,37
1,NULL,7090,27
3.25,cups,7090,34
3,tablespoons,7090,2
1.25,teaspoons,7090,3
2.75,teaspoons,7090,0
0.5,cup,7090,161
1.25,cups,7091,1
2,tablespoons,7091,37
3.25,cups,7091,34
0.25,cup,7091,2
1.5,teaspoons,7091,3
1,teaspoon,7091,18
3.5,teaspoons,7091,0
0.75,cup,7091,17
2.5,teaspoons,7092,0
0.25,cup,7092,1
1,tablespoon,7092,2
4,cups,7092,6
0.25,cup,7092,162
0.25,cup,7092,79
2,teaspoons,7092,3
0.25,cup,7092,2
2,tablespoons,7092,37
1,cup,7092,1
4,NULL,7093,163
3,cups,7093,11
1,cup,7093,2
1,cup,7093,28
1,teaspoon,7093,3
6,cups,7093,6
1,tablespoon,7093,126
3,tablespoons,7093,127
1,cup,7093,1
4.5,teaspoons,7093,0
6,NULL,7093,4
0.5,teaspoon,7093,21
3,cups,7095,6
1,tablespoon,7095,7
0.333333333,cup,7095,2
1,teaspoon,7095,3
1,teaspoon,7095,19
1,NULL,7095,27
2,cups,7095,26
0.25,cup,7095,5
3,tablespoons,7098,17
3,tablespoons,7098,164
3,ounces,7098,165
3,tablespoons,7098,166
4,tablespoons,7098,167
0.75,tablespoon,7098,0
6,tablespoons,7098,2
1.5,tablespoons,7098,1
4,cups,7098,6
0.5,cup,7098,168
0.5,cup,7098,11
0.25,teaspoon,7098,13
0.5,tablespoon,7098,126
0.5,teaspoon,7098,3
1,NULL,7098,27
6,tablespoons,7098,5
0.25,cup,7098,5
2,NULL,7098,15
4,cups,7099,1
0.25,cup,7099,2
3,packages,7099,0
2,teaspoons,7099,3
11,cups,7099,6
1,teaspoon,7099,45
1,teaspoon,7099,169
6,tablespoons,7099,37
1,tablespoon,7099,42
1,tablespoon,7099,100
0.5,NULL,7099,170
1,package,7101,171
4,NULL,7101,4
0.25,cup,7101,10
2,tablespoons,7101,40
1,package,7101,172
1,cup,7101,20
0.5,cup,7101,173
0.5,teaspoon,7101,174
0.5,teaspoon,7101,18
2,tablespoons,7101,2
2,cups,7102,6
0.5,teaspoon,7102,3
0.5,teaspoon,7102,2
1,package,7102,0
1,tablespoon,7102,100
2,tablespoons,7102,175
0.75,cup,7102,1
2,packages,7103,0
0.5,cup,7103,1
1.5,cups,7103,176
2,tablespoons,7103,2
1,teaspoon,7103,3
0.5,cup,7103,56
2,tablespoons,7103,5
3.25,cups,7103,57
2.5,cups,7103,34
2,packages,7104,0
1,tablespoon,7104,2
7,cups,7104,177
2,cups,7104,1
1,tablespoon,7104,3
3,cups,7106,178
3,cups,7106,179
1,tablespoon,7106,42
1,cup,7108,180
0.25,cup,7108,11
1,cup,7108,113
0.333333333,cup,7108,10
1,NULL,7108,27
1.5,cups,7108,6
3.5,teaspoons,7108,7
0.5,teaspoon,7108,3
1,teaspoon,7108,18
0.333333333,cup,7108,22
0.25,NULL,7108,181
24,ounces,7110,182
1,cup,7110,22
1,package,7110,183
0.25,cup,7110,2
2,teaspoons,7110,18
0.5,cup,7110,25
0.5,cup,7110,184
1,cup,7112,185
0.333333333,cup,7112,16
0.75,cup,7112,11
0.5,teaspoon,7112,3
1.5,teaspoons,7112,7
0.333333333,cup,7112,2
1.75,cups,7112,6
0.25,teaspoon,7112,145
0.5,teaspoon,7112,18
0.5,teaspoon,7112,186
1.5,cups,7113,6
1.25,teaspoons,7113,7
0.5,teaspoon,7113,19
0.5,teaspoon,7113,18
0.125,teaspoon,7113,3
2,NULL,7113,187
1,cup,7113,64
0.75,cup,7113,2
0.25,cup,7113,16
0.5,cup,7113,41
1,NULL,7114,27
2,NULL,7114,187
0.5,cup,7114,11
1,tablespoon,7114,188
1,tablespoon,7114,40
2,teaspoons,7114,12
1.5,cups,7114,6
0.5,cup,7114,189
0.5,cup,7114,2
2,teaspoons,7114,7
0.5,teaspoon,7114,3
0.5,teaspoon,7114,18
2,tablespoons,7114,2
2,cups,7116,6
1,teaspoon,7116,7
0.5,teaspoon,7116,19
0.75,cup,7116,2
3,tablespoons,7116,10
2,NULL,7116,4
2,NULL,7116,190
1.125,cups,7117,40
2,tablespoons,7117,56
1,tablespoon,7117,10
1,teaspoon,7117,3
2,cups,7117,6
1.5,cups,7117,57
3,tablespoons,7117,22
1,tablespoon,7117,53
0.75,teaspoon,7117,76
2,teaspoons,7117,80
3,cups,7119,34
2,teaspoons,7119,0
2,tablespoons,7119,2
1,teaspoon,7119,3
0.5,cup,7119,191
3,tablespoons,7119,100
1.25,cups,7119,1
1,tablespoon,7119,42
0.666666667,cup,7120,1
1.75,cups,7120,34
2,teaspoons,7120,79
2,teaspoons,7120,2
1,teaspoon,7120,3
1,NULL,7120,159
1.5,NULL,7120,192
1.5,tablespoons,7120,37
1.25,teaspoons,7120,0
1,package,7121,0
2,tablespoons,7121,28
1.25,cups,7121,1
2,tablespoons,7121,2
2,teaspoons,7121,3
3,cups,7121,193
1,tablespoon,7121,5
3,cups,7122,6
2,teaspoons,7122,7
2,teaspoons,7122,3
0.75,cup,7122,28
0.75,cup,7122,33
2,cups,7123,194
1,teaspoon,7123,3
4,tablespoons,7123,106
1,cup,7123,195
2,tablespoons,7123,196
0.375,cup,7124,11
0.375,cup,7124,40
1,NULL,7124,27
1,teaspoon,7124,3
0.333333333,cup,7124,2
4,tablespoons,7124,37
0.5,teaspoon,7124,18
0.25,teaspoon,7124,21
0.5,teaspoon,7124,197
3,cups,7124,34
1.5,teaspoons,7124,0
0.5,cup,7124,17
0.75,NULL,7124,15
1,tablespoon,7124,40
1.5,cups,7127,1
2,tablespoons,7127,79
2,tablespoons,7127,10
2,tablespoons,7127,56
2,tablespoons,7127,68
1.5,teaspoons,7127,3
2.25,cups,7127,35
1.25,cups,7127,34
1,cup,7127,180
2,teaspoons,7127,0
1.25,cups,7129,1
2,tablespoons,7129,37
2.5,cups,7129,34
0.25,cup,7129,95
2,tablespoons,7129,68
1,teaspoon,7129,3
1.5,teaspoons,7129,0
1.5,cups,7130,198
0.5,cup,7130,68
2,tablespoons,7130,10
2,tablespoons,7130,199
1,cup,7130,200
0.75,cup,7130,119
0.25,cup,7130,201
4,teaspoons,7130,7
1,tablespoon,7130,202
1,teaspoon,7130,151
0.25,teaspoon,7130,18
1,cup,7130,23
2.333333333,cups,7131,34
2,tablespoons,7131,2
1,teaspoon,7131,3
1,tablespoon,7131,10
0.5,cup,7131,203
1,teaspoon,7131,19
1,cup,7131,26
2,tablespoons,7131,204
1.5,teaspoons,7131,0
1,cup,7133,6
1,cup,7133,35
1.5,teaspoons,7133,19
0.5,teaspoon,7133,18
1.5,teaspoons,7133,7
0.25,teaspoon,7133,21
0.5,teaspoon,7133,3
1,cup,7133,60
0.25,cup,7133,10
0.333333333,cup,7133,68
1,NULL,7133,27
1,cup,7133,205
1.25,cups,7134,137
0.333333333,cup,7134,40
3,cups,7134,6
1,tablespoon,7134,2
1,tablespoon,7134,10
1,teaspoon,7134,3
2,teaspoons,7134,80
5,cups,7135,206
4,cups,7135,29
0.5,cup,7135,5
1,cup,7135,2
0.5,teaspoon,7135,3
4,NULL,7135,4
1,teaspoon,7135,18
1,teaspoon,7135,21
1,cup,7135,17
0.5,cup,7135,2
0.5,tablespoon,7135,207
1,cup,7135,33
2,tablespoons,7135,5
3,tablespoons,7135,127
1,tablespoon,7135,129
3.5,teaspoons,7136,2
2,teaspoons,7136,3
1,tablespoon,7136,0
4,cups,7136,6
0.5,cup,7136,37
1,cup,7136,11
1,NULL,7136,27
1,NULL,7136,208
2,NULL,7136,209
1,NULL,7136,88
2,tablespoons,7136,210
4.5,cups,7138,6
0.25,cup,7138,28
0.25,cup,7138,2
2.5,teaspoons,7138,3
1.5,tablespoons,7138,0
1.5,cups,7138,211
1,tablespoon,7138,10
0.5,cup,7141,37
0.666666667,cup,7141,11
2,NULL,7141,4
2.5,cups,7141,6
1,cup,7141,2
2.5,teaspoons,7141,7
0.5,teaspoon,7141,19
1,teaspoon,7141,3
0.666666667,cup,7141,64
0.5,cup,7141,25
1.25,cups,7142,1
3,cups,7142,34
0.5,cup,7142,212
2,NULL,7142,192
1,teaspoon,7142,213
2,NULL,7142,159
2,tablespoons,7142,58
1.5,teaspoons,7142,3
2,teaspoons,7142,0
2,cups,7143,37
6,NULL,7143,4
1,cup,7143,2
2,cups,7143,20
0.5,teaspoon,7143,3
1,cup,7143,11
12,cups,7143,6
2,packages,7143,0
1,pound,7143,214
1,cup,7143,2
0.125,teaspoon,7143,18
8,ounces,7143,215
1,tablespoon,7143,127
0.125,teaspoon,7143,18
0.25,cup,7143,5
1,NULL,7143,208
1,cup,7144,40
1.5,teaspoons,7144,10
1.5,teaspoons,7144,68
0.5,teaspoon,7144,216
3,cups,7144,153
3,tablespoons,7144,79
1.5,teaspoons,7144,3
2,teaspoons,7144,0
1,package,7145,217
2,pounds,7145,218
2,packages,7145,219
5,NULL,7145,159
3,cups,7145,220
2,NULL,7145,181
2,NULL,7145,4
1.5,teaspoons,7145,144
2,teaspoons,7145,45
1,teaspoon,7145,221
1,teaspoon,7145,96
0.5,teaspoon,7145,169
2,NULL,7145,4
4,cups,7146,222
3,NULL,7146,223
1.333333333,cups,7146,40
0.5,cup,7146,184
1,teaspoon,7146,45
0.25,teaspoon,7146,3
0.125,teaspoon,7146,140
0.125,teaspoon,7146,144
2,cups,7147,1
1,package,7147,0
1,cup,7147,100
1,tablespoon,7147,3
7,cups,7147,6
1,teaspoon,7147,213
1,cup,7147,224
2,cups,7148,6
2,tablespoons,7148,2
4,teaspoons,7148,7
1,teaspoon,7148,3
0.25,cup,7148,37
1,cup,7148,11
0.333333333,cup,7148,37
1,cup,7148,22
3,teaspoons,7148,18
0.333333333,cup,7148,17
0.333333333,cup,7149,1
3,NULL,7149,4
2,NULL,7149,30
0.75,cup,7149,5
3.333333333,cups,7149,6
0.25,cup,7149,2
0.5,teaspoon,7149,0
1,NULL,7149,88
2,tablespoons,7149,40
4.25,cups,7150,6
0.5,cup,7150,2
1,teaspoon,7150,3
2.25,teaspoons,7150,0
1,cup,7150,11
0.5,cup,7150,37
2,NULL,7150,4
2,teaspoons,7150,12
2.25,cups,7151,6
0.75,cup,7151,22
1,tablespoon,7151,7
1,teaspoon,7151,3
0.25,cup,7151,37
2,NULL,7151,4
2,tablespoons,7151,197
0.5,cup,7151,11
0.5,cup,7151,14
1,cup,7151,225
1.125,cups,7153,40
1.5,tablespoons,7153,226
3,tablespoons,7153,68
0.5,tablespoon,7153,199
3,cups,7153,35
0.5,cup,7153,227
2,tablespoons,7153,34
3,tablespoons,7153,228
1.5,teaspoons,7153,151
2,teaspoons,7153,0
0.333333333,cup,7155,10
0.5,cup,7155,68
1,teaspoon,7155,12
2,NULL,7155,4
1,cup,7155,64
1.75,cups,7155,35
